Costi Indiretti;Costi Diretti;CostiDirettiValue;isEconomico;Percentuale;Anno;Contributo Competenza;Valore;doc_name;Costi Indiretti Somma;Costi Diretti Somma
{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '0.00', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};{'Oneri diversi': '0.00', 'Servizi': '3240.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '139743.09', 'Materie Prime': '3164.00'};['conti/8.06.004/lineeConto/8.06.004line_068', 'conti/8.07.000/lineeConto/8.07.000line_001', 'conti/8.04.003/lineeConto/8.04.003line_004', 'conti/8.04.003/lineeConto/8.04.003line_010', 'conti/8.04.003/lineeConto/8.04.003line_012', 'conti/8.04.003/lineeConto/8.04.003line_018', 'conti/8.04.003/lineeConto/8.04.003line_021', 'conti/8.04.003/lineeConto/8.04.003line_024', 'conti/8.11.011/lineeConto/8.11.011line_065', 'conti/8.11.011/lineeConto/8.11.011line_066', 'conti/8.09.005/lineeConto/8.09.005line_061', 'conti/8.17.000/lineeConto/8.17.000line_078'];False;0.00;2022;0;452580;COVID;0.0;146147.09
{'Oneri diversi': '133.59', 'Servizi': '844.16', 'Oneri finanziari': '38.31', 'Ammortamenti': '87.61', 'God beni terzi': '247.08', 'Personale': '127.80', 'Materie Prime': '5.49'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;0.26;2022;4000;40000;CRiSM;1445.7299999999998;0.0
{'Oneri diversi': '5153.34', 'Servizi': '32565.29', 'Oneri finanziari': '1477.96', 'Ammortamenti': '3379.78', 'God beni terzi': '9531.44', 'Personale': '4930.25', 'Materie Prime': '211.93'};{'Oneri diversi': '0.00', 'Servizi': '1457.32', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '17211.16', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};['conti/8.04.004/lineeConto/8.04.004line_063', 'conti/8.04.004/lineeConto/8.04.004line_071', 'conti/8.04.004/lineeConto/8.04.004line_080', 'conti/8.04.004/lineeConto/8.04.004line_088', 'conti/8.04.004/lineeConto/8.04.004line_097', 'conti/8.06.004/lineeConto/8.06.004line_085', 'conti/8.06.004/lineeConto/8.06.004line_095', 'conti/8.06.004/lineeConto/8.06.004line_107', 'conti/8.06.004/lineeConto/8.06.004line_116', 'conti/8.06.004/lineeConto/8.06.004line_127', 'conti/8.07.002/lineeConto/8.07.002line_000', 'conti/8.17.000/lineeConto/8.17.000line_092'];False;10.03;2022;153750;0;CS-AWARE-NEXT;55772.030000000006;18668.48
{'Oneri diversi': '10074.55', 'Servizi': '63663.72', 'Oneri finanziari': '2976.57', 'Ammortamenti': '6607.33', 'God beni terzi': '18633.55', 'Personale': '9638.42', 'Materie Prime': '414.32'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];True;42.93;2022;125000;125000;CeSMA;109031.89000000001;0.0
{'Oneri diversi': '200.38', 'Servizi': '1266.25', 'Oneri finanziari': '57.47', 'Ammortamenti': '131.42', 'God beni terzi': '370.61', 'Personale': '191.70', 'Materie Prime': '8.24'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '0.00', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};[];False;0.39;2022;6000;10000;Contrader;2168.6;0.0
{'Oneri diversi': '236.34', 'Servizi': '1493.52', 'Oneri finanziari': '67.78', 'Ammortamenti': '155.01', 'Personale': '226.11', 'God beni terzi': '437.13', 'Materie Prime': '9.72'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '14099.25', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};['conti/8.04.003/lineeConto/8.04.003line_005'];False;0.46;2022;7049.63;381993.2;E-DESIGN;2557.83;14099.25
{'Oneri diversi': '1674.96', 'Servizi': '10584.53', 'Oneri finanziari': '480.37', 'Ammortamenti': '1098.51', 'God beni terzi': '3097.96', 'Personale': '1602.45', 'Materie Prime': '68.88'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;3.26;2022;50000;50000;EOS;18127.290000000005;0.0
{'Oneri diversi': '1382.10', 'Servizi': '8733.86', 'Oneri finanziari': '396.38', 'Ammortamenti': '906.44', 'Personale': '1322.27', 'God beni terzi': '2556.29', 'Materie Prime': '56.84'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '91193.39', 'Materie Prime': '0.00'};['conti/8.04.004/lineeConto/8.04.004line_030', 'conti/8.04.004/lineeConto/8.04.004line_039', 'conti/8.04.004/lineeConto/8.04.004line_043', 'conti/8.04.004/lineeConto/8.04.004line_054', 'conti/8.04.004/lineeConto/8.04.004line_058', 'conti/8.04.004/lineeConto/8.04.004line_062', 'conti/8.04.004/lineeConto/8.04.004line_070', 'conti/8.04.004/lineeConto/8.04.004line_072', 'conti/8.04.004/lineeConto/8.04.004line_079', 'conti/8.04.004/lineeConto/8.04.004line_081', 'conti/8.04.004/lineeConto/8.04.004line_087', 'conti/8.06.004/lineeConto/8.06.004line_027', 'conti/8.06.004/lineeConto/8.06.004line_039', 'conti/8.06.004/lineeConto/8.06.004line_043', 'conti/8.06.004/lineeConto/8.06.004line_052', 'conti/8.06.004/lineeConto/8.06.004line_062', 'conti/8.06.004/lineeConto/8.06.004line_063', 'conti/8.06.004/lineeConto/8.06.004line_074', 'conti/8.06.004/lineeConto/8.06.004line_084', 'conti/8.06.004/lineeConto/8.06.004line_094', 'conti/8.06.004/lineeConto/8.06.004line_106', 'conti/8.06.004/lineeConto/8.06.004line_115', 'conti/8.04.003/lineeConto/8.04.003line_011', 'conti/8.04.003/lineeConto/8.04.003line_017', 'conti/8.04.003/lineeConto/8.04.003line_023'];False;2.69;2022;41218.95;857450.58;F-MOBILITY;14957.800000000003;91193.39
{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '0.00', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};[];False;0.00;2022;4719231.13;0;GIROCONTO;0.0;0.0
{'Oneri diversi': '1788.00', 'Servizi': '11298.82', 'Oneri finanziari': '512.79', 'Ammortamenti': '1172.65', 'Personale': '1710.59', 'God beni terzi': '3307.02', 'Materie Prime': '73.53'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;3.48;2022;53378.70;0;GREEN POWERTRAIN;19350.609999999997;0.0
